label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,17.774614472123368,1357.3096085409252,0,1342,38,1373
2,103.1377171215881,685.2245657568238,88,668,120,705
3,116.63241106719367,1238.9723320158103,100,1222,134,1257
4,143.08914285714286,475.03542857142855,127,457,161,495
5,169.71066368381804,993.0007457121551,147,971,191,1017
6,251.70005757052388,826.720207253886,230,788,270,867
7,265.00922722029986,775.0899653979238,251,756,280,796
8,297.8488471391973,696.2263023057216,278,677,320,717
9,362.754060324826,1015.4593967517401,346,997,381,1035
10,373.7265625,1049.1536458333333,359,1032,389,1067
11,384.7056555269923,1079.7557840616967,368,1065,403,1096
12,398.83036848792887,885.3958068614994,372,862,426,909
13,449.24792243767314,642.0290858725762,429,620,471,667
14,457.8276785714286,807.9339285714286,439,789,481,830
15,472.00553505535055,914.5387453874539,454,896,493,936
16,499.0162074554295,765.3111831442463,481,744,518,789
17,535.6051660516605,874.9372693726938,515,852,555,896
18,541.7151767151768,1380.387733887734,516,1365,564,1392
19,587.3649635036496,1085.940389294404,574,1067,601,1107
20,618.4450402144772,1020.2030831099196,595,998,648,1041
21,611.9144385026738,943.3114973262032,598,926,626,962
22,638.7889009793254,1194.6746463547333,617,1178,660,1210
23,656.2522123893805,658.1592920353983,641,644,672,674
24,668.3625344352618,830.9074380165289,644,799,700,858
25,702.1551724137931,941.8174442190669,677,916,729,966
26,728.0641233766233,202.45048701298703,707,184,752,224
27,729.961961961962,611.5865865865866,710,596,751,628
28,747.8392745465916,998.8830519074421,725,970,773,1027
29,773.0974842767296,872.62106918239,759,859,789,888
30,777.6581920903955,820.6035781544256,762,796,794,845
31,806.3791621911922,1225.1138560687432,783,1214,830,1238
32,819.1,1361.4186915887851,800,1345,842,1381
33,862.122332859175,1153.6856330014225,848,1139,877,1171
34,872.3096234309623,387.93640167364015,851,370,896,407
35,875.7128987517337,1093.3120665742024,860,1078,893,1109
36,885.536231884058,1258.3623188405797,867,1245,905,1272
37,889.2626628075253,790.5918958031838,869,770,911,814
38,913.8376327769347,749.4006069802731,881,728,949,770
39,925.75,1320.4736180904522,911,1301,941,1341
40,941.1385083713851,526.3637747336378,927,512,956,542
41,979.5419191919192,1296.2934343434345,944,1269,1014,1323
42,978.7604115629593,1367.1298383145518,950,1340,1012,1392
