label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,49.49686323713927,1367.0238393977415,34,1350,66,1385
2,318.77946127946126,643.7912457912458,299,624,340,665
3,321.7772808586762,697.1350626118068,306,677,340,719
4,329.1797994269341,877.8051575931232,308,853,352,901
5,462.0396426577331,903.7102177554439,442,875,485,932
6,516.0560593569662,792.2860676009893,497,773,537,814
7,571.5672371638142,847.8789731051345,554,831,589,865
8,586.1543624161073,768.2368168744008,563,754,611,785
9,726.5830346475508,890.3500597371565,711,874,744,907
10,844.5013227513227,1082.6772486772486,825,1071,865,1095
11,887.4613821138212,1091.4075203252032,870,1071,906,1112
12,990.7312661498707,1258.656330749354,974,1242,1008,1276
13,1008.1622874806801,949.3508500772798,993,935,1024,964
