label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,15.15727002967359,432.44609297725026,0,414,35,453
2,13.643654822335025,798.1451776649747,0,780,33,821
3,108.99007170435742,1334.7225592939878,79,1316,141,1355
4,179.7886690647482,863.7796762589928,163,841,195,888
5,197.5906432748538,795.5014619883041,182,783,215,811
6,218.02844950213372,910.452347083926,204,894,233,928
7,241.90150637311703,826.5168018539977,222,812,263,840
8,318.02665299846234,900.0328036904152,289,873,345,928
9,494.2895086321381,778.3054448871181,479,763,511,796
10,523.3447037701975,1228.027827648115,503,1210,544,1247
11,627.6878612716763,851.5072254335261,612,838,644,867
12,641.3479452054795,887.9054794520548,629,870,654,907
13,650.8729547641964,22.578440808469683,633,6,673,42
14,702.8913043478261,392.1231884057971,682,373,726,414
15,713.7050572166851,917.9948320413437,685,878,740,955
16,716.666037735849,1020.0320754716981,698,998,735,1043
17,777.2915789473684,767.358947368421,750,738,805,794
18,871.6827632461435,335.13011401743796,851,311,895,361
19,962.301329394387,961.4815361890694,945,949,980,975
20,1012.3922378199835,1249.047068538398,992,1230,1036,1270
21,1022.2175398633258,1149.8861047835992,1002,1134,1040,1169
