label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,43.82321899736148,1016.7097625329816,27,1000,59,1032
2,50.13458110516934,577.3565062388592,31,558,72,599
3,145.2338943702844,1268.188044109112,122,1246,174,1294
4,218.73021582733813,1361.4598321342926,189,1340,253,1389
5,230.62279888785912,1240.4689527340129,213,1221,251,1263
6,242.96444444444444,684.1540740740741,231,667,256,702
7,293.45767928593415,756.41243459526,245,726,339,787
8,262.012987012987,789.5036075036076,249,773,276,807
9,290.63563563563565,554.5085085085085,274,537,310,575
10,303.29702127659573,1069.2025531914894,284,1051,325,1090
11,352.4482551143201,995.9175691937425,325,973,379,1020
12,358.17202729044834,817.3406432748538,331,791,382,845
13,360.8110992529349,644.0202774813233,342,629,382,662
14,393.6669642857143,1057.9419642857142,372,1039,418,1080
15,390.2749658002736,910.9179206566347,375,895,407,929
16,389.99723756906076,956.4254143646409,375,941,407,974
17,433.02425876010784,1284.0357142857142,409,1255,459,1313
18,452.9817232375979,399.73498694516974,440,381,466,420
19,570.4985422740525,703.4234693877551,548,684,594,726
20,572.0443686006826,611.4846416382253,552,598,594,627
21,620.0720072007201,538.4491449144914,598,522,645,558
22,644.3607038123167,842.453567937439,606,807,689,874
23,653.7130600571974,1179.5929456625358,637,1160,673,1200
24,658.7758064516129,1108.208064516129,640,1087,679,1131
25,677.3227848101266,652.6057866184449,655,634,702,674
26,689.50753370341,980.7517842981761,670,961,711,1003
27,698.2421289355323,59.7976011994003,678,39,722,81
28,708.2513661202186,1088.7035519125684,695,1071,722,1107
29,729.7169590643275,602.5368421052632,714,586,748,620
30,752.5971428571429,867.1042857142858,739,850,767,885
31,777.1530612244898,986.2359693877551,762,968,793,1006
32,790.3681318681319,948.8489010989011,774,934,806,965
33,838.2737722048067,932.7163009404388,806,911,870,955
34,829.6060842433698,808.7059282371295,810,789,851,831
35,855.615234375,1080.65087890625,828,1055,885,1105
36,853.0037998733376,1158.0614312856237,831,1138,877,1183
37,855.5274930102516,1372.6579683131408,836,1356,878,1391
38,918.2519754170324,252.27831431079895,898,235,941,272
39,923.7215836526182,975.7765006385696,906,961,942,991
40,927.3135525260625,1358.3287890938252,911,1330,948,1386
41,925.2440828402367,1217.7633136094676,912,1201,939,1235
42,956.3396381578947,1217.1332236842106,937,1191,976,1244
43,966.872745490982,935.6132264529058,943,924,992,948
44,973.5980392156863,714.2200435729848,954,697,994,732
45,986.8506711409397,1321.005033557047,965,1305,1012,1339
46,992.4263217097863,1362.1574803149606,965,1339,1020,1387
47,1029.0038759689924,1239.6686046511627,1016,1226,1040,1253
