label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,120.41547277936962,873.9627507163324,106,860,137,890
2,327.3504968383017,736.9485094850949,310,713,347,757
3,410.606008583691,690.5356223175966,390,670,431,711
4,572.3994140625,726.177734375,555,708,591,746
5,666.3915343915344,758.5436507936508,650,742,683,777
6,729.9584664536741,906.6869009584665,711,891,751,923
7,860.3480725623583,529.5929705215419,844,514,879,547
8,880.7793427230047,194.97652582159625,865,179,899,213
9,888.0880658436214,1039.6238683127572,869,1019,909,1062
