label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,11.117021276595745,825.4494680851063,0,809,27,845
2,31.482635796972396,507.9082813891362,5,494,59,523
3,42.22691975841242,423.2484900776532,15,410,71,437
4,258.41063244729605,756.1824014665444,242,737,278,778
5,304.2412935323383,656.0186567164179,292,636,318,677
6,321.9575596816976,350.7029177718833,306,335,339,369
7,354.1734253666954,1054.5573770491803,337,1035,375,1078
8,368.4620034542314,315.0509499136442,348,298,393,334
9,402.3697916666667,952.37109375,387,936,420,970
10,475.6354748603352,932.3603351955308,460,917,491,950
11,535.8595890410959,947.7545662100457,522,928,552,969
12,562.3003851091142,615.6745827984596,540,594,586,638
13,661.155792276964,317.6844207723036,644,304,680,333
14,755.297583081571,658.3716012084592,735,636,777,684
15,780.4685792349727,1273.698087431694,763,1260,799,1288
16,784.3050647820966,1228.2190812720848,764,1215,805,1243
17,792.0191570881226,1375.1053639846743,774,1358,812,1392
18,840.8522648083624,155.38048780487804,816,139,869,176
19,1008.8416243654823,720.8,991,704,1029,740
20,1012.0097442143727,1215.9512789281364,992,1203,1033,1230
21,1028.8059701492537,551.1430348258707,1015,531,1040,572
