label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,36.943533697632056,507.8151183970856,11,493,64,523
2,41.4652448657188,424.61058451816746,12,412,72,438
3,88.82706093189964,950.1111111111111,70,932,111,972
4,257.757986447241,752.72894482091,241,735,278,773
5,303.2165206508135,656.8360450563204,290,637,317,678
6,357.93278301886795,1048.8455188679245,343,1031,377,1065
7,425.57041420118344,1007.9112426035502,410,992,444,1027
8,521.523786169691,1069.027954879843,490,1044,554,1093
9,552.4935584184807,950.984007107952,523,921,584,980
10,560.4957160342717,633.7074663402693,545,615,577,653
11,626.4687199230029,1303.5832531280078,612,1279,642,1329
12,691.112631990614,1200.372115760657,623,1172,765,1229
13,641.6734449760766,1111.6327751196172,628,1092,656,1132
14,727.7290322580645,1137.4283870967743,712,1122,745,1154
15,749.3839590443686,876.3976109215017,729,858,772,896
16,859.1742489270387,1050.0377682403434,840,1031,882,1072
17,897.7023643949931,887.7997218358831,875,868,923,910
18,944.7147826086956,760.1176811594203,923,735,967,785
19,961.5838323353294,1255.8847305389222,948,1240,976,1273
20,967.7150610583446,1313.831750339213,950,1301,987,1328
21,1007.7105500450857,719.5761947700631,988,702,1028,739
22,1018.1069182389937,1195.134770889488,994,1178,1040,1213
23,1023.3130352045671,1362.8173168411038,1007,1344,1040,1383
