label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,204.2357142857143,278.0887755102041,187,261,225,298
2,258.9865424430642,771.0672877846791,246,750,274,795
3,405.6122641509434,934.4264150943396,389,914,424,957
4,672.926724137931,1206.8900862068965,652,1191,694,1222
5,787.3100511073254,1019.9000567859171,767,993,808,1048
6,836.0135478408129,1176.7493649449618,818,1158,857,1198
7,893.1105032822757,965.6969365426696,877,948,911,985
8,951.4312130177515,722.3957100591716,935,699,972,750
9,957.5519568151147,618.4817813765183,941,603,974,636
10,963.1743190661479,803.1789883268483,944,782,984,826
