label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,28.288385826771652,269.82972440944883,10,252,50,291
2,52.281207133058984,499.94924554183814,35,485,70,515
3,69.6120218579235,317.0273224043716,58,299,82,336
4,152.13438735177866,571.8833992094861,135,555,173,592
5,245.35477386934673,734.9899497487437,231,711,260,759
6,267.94717444717446,819.2813267813268,255,800,282,840
7,281.11776187378007,1109.152895250488,263,1081,304,1141
8,298.74367088607596,667.003164556962,284,645,315,690
9,300.405601659751,1275.1047717842323,284,1256,318,1295
10,351.6974128233971,204.80427446569178,338,187,370,226
11,430.77476835352815,1105.5160370634355,409,1084,456,1130
12,474.14439946018894,1049.3859649122808,456,1037,492,1064
13,491.72318007662835,1308.0249042145595,475,1289,511,1330
14,526.921749136939,881.9551208285385,509,864,546,901
15,526.4243641231593,1027.2530120481927,511,1011,543,1044
16,753.0108401084011,669.8143631436315,738,655,769,686
17,798.1033898305085,1045.4169491525424,779,1027,820,1066
18,834.3767507002801,988.1316526610644,817,975,853,1003
19,843.1300699300699,558.6090909090909,822,537,865,582
20,911.4584615384615,1268.777435897436,876,1242,944,1295
21,964.0605042016807,743.5680672268908,943,726,989,764
22,971.892163429337,1155.0448760884126,952,1133,997,1179
23,1019.3481481481482,1382.442962962963,999,1370,1040,1392
