label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,40.34436564223798,424.8557919621749,11,412,71,438
2,38.302796528447445,508.54291224686597,14,494,64,524
3,257.785498489426,754.595166163142,242,737,278,775
4,304.24904701397713,656.0343074968234,292,636,318,677
5,359.244094488189,1050.843644544432,343,1033,378,1068
6,358.3993993993994,1286.7792792792793,345,1272,374,1303
7,425.0180586907449,1006.8250564334086,409,990,444,1026
8,521.4885567491826,1073.752919196637,488,1048,554,1100
9,552.7422680412371,952.7756215888418,529,928,580,980
10,561.1172566371681,631.4800884955753,545,612,577,652
11,620.417115902965,1310.882075471698,597,1281,640,1336
12,642.9838274932614,1109.5242587601078,630,1092,656,1129
13,712.3361153262518,1204.695751138088,690,1188,736,1225
14,732.4601769911504,1139.653603034134,716,1125,751,1156
15,775.7514367816092,1221.0402298850574,759,1207,793,1236
16,839.5774086378738,1104.85780730897,814,1085,865,1124
17,863.0462328767123,1052.951198630137,844,1035,886,1074
18,890.5769956002514,892.8290383406662,867,872,916,914
19,970.9163722025913,1313.793875147232,951,1301,992,1328
20,988.0601173020527,1254.9765395894428,974,1240,1004,1272
21,1008.248309178744,717.6144927536232,990,701,1028,737
22,1015.3825198637911,1195.727582292849,995,1180,1037,1212
23,1022.8889908256881,1364.262385321101,1006,1345,1040,1385
