label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,262.7421465968586,1226.2290575916231,248,1208,278,1246
2,279.0988372093023,477.98982558139534,265,463,295,495
3,294.50074074074075,382.15407407407406,282,366,308,400
4,307.58215451577803,998.1664853101197,292,980,325,1019
5,326.90381558028616,1354.6756756756756,307,1336,351,1377
6,488.818954248366,1196.6019607843136,467,1173,514,1218
7,605.6777358490566,687.9705660377358,585,663,629,714
8,666.4571670907549,959.9673452078032,642,924,691,1002
9,733.6346586646662,789.5870217554389,696,750,776,834
10,764.7602862254025,167.32647584973165,744,151,790,188
11,830.9057750759879,1151.9893617021276,817,1138,847,1168
12,872.7509671179884,696.9748549323017,837,673,907,718
13,893.5316995205114,839.3867874267448,862,822,930,861
14,901.8997333333333,923.8554666666666,872,900,929,949
