label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,266.7805676855895,1077.6855895196506,246,1062,288,1094
2,332.45955056179776,1117.5955056179776,315,1102,352,1136
3,482.26338639652676,1081.0723589001448,469,1065,497,1099
4,499.61804511278194,1256.0706766917294,485,1241,514,1272
5,677.2447552447552,251.82051282051282,656,240,700,265
6,709.8281081081082,881.3405405405406,692,865,729,898
7,719.3374777975133,326.87033747779753,701,307,740,349
8,731.6714848883049,212.4257555847569,713,198,750,227
9,787.3660644147683,1083.9575805184604,769,1064,811,1109
10,795.6233062330623,537.9078590785908,779,524,813,552
11,903.6063569682152,953.157294213529,884,932,926,978
12,987.043438077634,1274.3327171903882,964,1259,1011,1289
