label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,22.43723313407344,1339.2527754056362,0,1324,49,1358
2,88.4702842377261,517.6046511627907,74,502,106,536
3,103.06748466257669,287.09918200409,87,270,123,308
4,122.50461133069828,926.9433465085639,107,911,140,945
5,161.53102746693796,995.6927772126145,144,979,182,1015
6,204.8767576509512,969.4412737799835,175,935,236,999
7,284.68527042577676,838.5978135788263,250,811,321,863
8,302.68194842406876,743.8519579751671,284,727,324,763
9,368.4469798657718,623.5704697986578,350,611,388,637
10,377.1880341880342,975.5777777777778,358,957,399,997
11,375.74873096446703,525.6814720812183,359,508,393,544
12,496.67152724481963,995.8787413660783,479,975,519,1020
13,502.31121281464533,142.720823798627,486,127,522,162
14,537.2475247524752,845.1495570609693,505,824,566,870
15,600.5709487825357,1115.6767422334174,582,1096,620,1137
16,611.1430667644901,965.4871606749816,590,945,633,986
17,686.7366211962225,659.7481636935992,665,644,708,675
18,706.6402953586498,830.617088607595,688,814,727,850
19,705.0570652173913,609.9307065217391,689,594,722,627
20,726.8177777777778,1047.2144444444446,713,1026,742,1070
21,835.2205284552846,1324.081300813008,818,1306,855,1345
22,942.2927756653993,615.9756653992396,921,597,966,638
23,961.114161849711,1240.4624277456646,945,1227,978,1256
