label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,192.3530701754386,214.26206140350877,176,197,211,234
2,205.48214285714286,1091.9971804511279,187,1075,227,1112
3,222.1986301369863,924.2405821917808,202,905,244,947
4,268.6346414073072,785.7483085250338,250,772,288,800
5,409.64664310954066,105.43992932862191,391,87,432,128
6,427.63088235294117,669.3838235294118,413,655,444,684
7,727.5153203342618,888.2298050139276,710,875,745,903
8,772.3823529411765,535.1237322515213,755,517,791,556
9,829.733709273183,1071.204887218045,806,1048,855,1095
10,898.7177700348432,738.4901277584204,881,723,917,754
