label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,30.23856613102596,727.46847960445,13,713,49,743
2,121.62763037511436,1097.6129917657822,99,1079,143,1118
3,131.5964316057774,765.6312659303313,113,745,152,788
4,170.36464646464646,667.8444444444444,151,651,192,685
5,226.3616792249731,970.3842841765339,214,948,241,994
6,626.3188548864758,43.559723593287266,607,25,648,63
7,654.2236842105264,865.4605263157895,633,844,677,889
8,738.7340425531914,19.81595744680851,722,4,759,39
9,923.2369534555712,1044.1008462623413,904,1020,942,1072
10,939.415699658703,1097.60204778157,915,1078,967,1117
11,993.6280041797284,1068.4535005224661,976,1051,1013,1088
