label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,67.93844924060751,1304.292565947242,47,1288,93,1325
2,324.74900793650795,893.327380952381,307,876,344,913
3,724.9747899159664,176.2829131652661,708,158,745,198
4,799.8361538461538,969.6523076923077,780,950,823,992
5,818.0782178217822,1087.2356435643565,798,1072,840,1104
6,883.6983094928479,932.7171651495448,856,911,911,959
7,887.8115746971736,1252.2086137281292,863,1233,918,1275
8,887.7936170212766,318.09255319148934,875,295,901,342
9,960.6422287390029,373.66979472140764,938,350,985,398
10,1017.5800933125972,990.2270606531882,1003,977,1033,1005
