label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,10.973099415204679,636.2877192982456,0,618,28,661
2,89.03616352201257,9.864779874213836,73,0,110,25
3,249.23014440433212,800.4431407942238,230,782,271,822
4,299.7429245283019,903.7252358490566,283,888,317,920
5,648.291817087846,821.7057761732852,623,796,675,846
6,687.0807726075504,291.57506584723444,667,275,710,311
7,781.1476190476191,1229.6219047619047,757,1215,807,1244
8,776.3764880952381,907.2872023809524,763,891,791,925
9,791.6225165562914,80.12393566698202,774,61,813,103
10,821.2895125553914,993.9047267355983,800,971,846,1019
11,844.5243651338367,1252.267673301304,826,1229,865,1277
12,868.7114093959732,402.5275167785235,850,390,889,416
13,886.9836448598131,461.8025700934579,869,443,907,480
14,896.2741046831956,1054.1363636363637,884,1036,910,1073
15,921.5473953885568,306.61827497865073,902,288,944,328
16,967.6082771896054,112.79403272377286,946,99,992,130
17,989.2471083070452,1370.229232386961,971,1352,1009,1391
18,1017.6268958543984,857.2366026289181,996,843,1040,873
19,1021.0224828934506,227.0019550342131,1002,211,1040,245
20,1027.3539156626507,782.5542168674699,1013,768,1040,800
