label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,111.10540301151461,794.3968113374668,93,776,133,816
2,166.72742474916387,1378.3745819397993,155,1363,180,1392
3,296.93866374589265,905.5323110624315,281,889,316,925
4,437.30277349768875,192.4437596302003,419,171,459,216
5,711.6252032520325,103.43333333333334,684,89,741,120
6,703.8200734394125,259.42717258261933,689,242,720,279
7,708.7882978723404,859.6648936170212,689,841,730,879
8,770.7423398328691,287.76880222841226,753,274,789,301
9,783.8271428571428,1205.25,768,1191,801,1220
10,817.6016042780749,466.6229946524064,801,450,835,484
11,836.533774834437,856.2271523178808,814,834,861,880
12,901.4947368421052,1008.889068825911,880,984,922,1034
13,976.9799599198396,111.82264529058116,953,100,1002,125
14,981.478453038674,859.0298342541437,959,846,1004,872
15,1001.9809045226131,220.90552763819096,980,204,1024,238
16,1024.0144927536232,1222.1340579710145,1005,1208,1040,1239
