label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,244.55571227080395,841.589562764457,230,827,261,858
2,286.2433817250213,892.4261315115286,268,872,305,914
3,370.69619047619045,1273.6638095238095,352,1257,393,1293
4,671.4277035236938,79.32685297691373,654,64,690,94
5,771.9083870967742,949.4683870967742,756,932,789,968
6,810.0946348733233,603.193740685544,788,584,834,625
7,875.5572289156627,64.7640562248996,857,49,898,83
8,912.4329317269077,812.8369477911647,885,779,942,847
9,987.9756345177665,112.5776649746193,963,101,1014,124
10,1027.146282973621,151.03836930455637,1012,130,1040,170
11,1029.6417704011064,208.6597510373444,1017,189,1040,229
