Area of mother cell,Major axis of mother cell,Minor axis of mother cell,Circularity of mother cell,Mean intensity of mother cell,Max intensity of mother cell,Min intensity of mother cell,Axis ratio of mother cell,Area of daughter cell,Major axis of daughter cell,Minor axis of daughter cell,Circularity of daughter cell,Mean intensity of daughter cell,Max intensity of daughter cell,Min intensity of daughter cell,Axis ratio of daughter cell,Area ratio,Major axis ratio,Minor axis ratio,Circularity ratio,Mean intensity ratio,Max intensity ratio,Min intensity ratio,Axis ratio ratio,Area diff,Major axis diff,Minor axis diff,Circularity diff,Mean intensity diff,Max intensity diff,Min intensity diff,Axis ratio diff,Area of phenomenon,Major axis of phenomenon,Minor axis of phenomenon,Circularity of phenomenon,Mean intensity of phenomenon,Max intensity of phenomenon,Min intensity of phenomenon,Extent of phenomenon,Axis ratio of phenomenon,Cross area,Cross major axis,Cross minor axis,Distance between 2 cells,Distance of mother cell to celtroid,Distance of daughter cell to celtroid,Distance ratio,Percentage coverage cell 1,Percentage coverage cell 2,Average coverage area,Distance factor,Intensity factor,Circularity factor,Path length,Range of area change in phenomenon,STD of area change in phenomenon,Range of circularity change in phenomenon,STD of circularity change in phenomenon,Range of extent change in phenomenon,STD of extent change in phenomenon,Range of mean intensity change in phenomenon,STD of mean intensity change in phenomenon,Range of minor axis change in phenomenon,STD of minor axis change in phenomenon,Range of major axis change in phenomenon,STD of major axis change in phenomenon
48,15.843204662947143,6.331673414682104,0.9166695546741572,1.1161168642021189,1.7627770980513218,0.938653906730718,0.39964600277430806,34,10.023428488740073,4.786234841801194,0.8786291604616762,0.9544897553288236,1.525623823207553,0.8247456408608762,0.47750476268453085,0.7083333333333334,0.6326642053789844,0.7559194115575681,0.958501518875029,0.8551880057928898,0.8654661016949153,0.8786472148541113,1.1948193135167973,14,5.819776174207069,1.5454385728809097,0.038040394212481066,0.16162710887329523,0.2371532748437688,0.11390826586984182,0.07785875991022279,194,18.633284746637962,15.905201220876377,0.5209440219609914,1.929956135659009,2.548930867415312,1.1359704109970559,0.00041928892643346437,0.853590842255882,0.422680412371134,1.3881950232287619,0.6990108519903844,18.478850071537437,9.3595633318716,9.265448606949509,1.0101576004481316,0.7916666666666666,0.35294117647058826,0.5723039215686274,0.37183417519491485,0.7571629973691829,0.47905597803900857,3,30,12.328828005937952,0.13491876386813717,0.060920406981804384,0.014787581699346464,0.006876671728810058,183.9028625763185,76.56581737575718,0.49362549582980897,0.2316502243624616,2.1542228523972753,0.933330126220717
181,20.291084418217995,11.71060062746627,0.8166520437211354,0.8526173335265309,1.6120790779264105,0.568353762873839,0.5771303487827448,34,9.39608467863348,5.49464296951751,0.8111918888325022,1.0295728756305957,1.2918715898451372,0.8490438114096921,0.5847800607855551,0.1878453038674033,0.46306468816409685,0.46920248963407285,0.9933139763371512,1.207543918175056,0.8013698630136986,1.4938650306748469,1.0132547387586612,147,10.894999739584515,6.215957657948761,0.005460154888633273,-0.17695554210406483,0.3202074880812733,-0.2806900485358531,0.007649712002810283,625,41.46154097302975,30.654437277199776,0.6733253564256085,1.3983436596678898,2.0752467149514104,1.1163676671581235,0.00029747072934296486,0.7393463088393201,0.344,0.7160170220436968,0.5612643755747797,15.51922758077414,7.61570923608907,10.722406078550296,0.7102612212499546,1.0,0.35294117647058826,0.6764705882352942,0.7440000596499958,0.6634168183071408,0.32667464357439147,2,24,12.0,0.0024170568286813188,0.0012085284143406594,0.020862439980087022,0.010431219990043511,4.745602662229885,2.3728013311149425,0.3020496731504174,0.1510248365752087,0.5300007955515866,0.2650003977757933
72,10.80460806783553,9.57417179123697,0.46345720127083107,1.0811718518855855,1.9952102096470876,0.7619208988089816,0.8861193049416137,33,8.653460499185549,4.916669206018819,0.8229086074350943,0.7786988028446503,0.9502188623444255,0.6129036362759648,0.568173761985921,0.4583333333333333,0.8009046181828864,0.5135346757114738,1.7755870556733677,0.7202359194669967,0.47625,0.8044189852700492,0.6411933007410981,39,2.1511475686499804,4.657502585218152,-0.35945140616426324,0.3024730490409352,1.0449913473026622,0.14901726253301684,-0.3179455429556928,525,34.7993468025297,32.032100820566605,0.3907898046209383,1.4114770216862134,2.5532455651577575,1.0911305834007512,0.00036371019446691707,0.9204799447051135,0.2,0.5591503966277493,0.45238497088994445,9.418915440603394,5.343231329501748,14.16124654255361,0.37731362937900215,1.0,1.0,1.0,0.9224998627164968,0.5525791909822328,0.6069224643217705,7,547,215.90634780017044,0.5871782480595578,0.2689405779941981,0.24222222222222223,0.08890567557474652,416.68678707224353,168.85526904626423,31.48506881468043,13.23298741731722,32.40127197016615,10.24044209456304
193,22.054218330696052,11.845807308085753,0.8435045266589604,0.8833774588322352,1.472736056761809,0.5599435905533053,0.5371220657409664,166,17.865126500925317,12.275517179500481,0.7265422807637696,0.7513658515001624,1.42940373869889,0.5143602429806242,0.6871217608710846,0.8601036269430051,0.8100548490562384,1.0362752710928713,0.8613377377374999,0.8505603623771619,0.9705769965609476,0.9185929648241207,1.279265561215013,27,4.189091829770735,-0.42970987141472783,0.11696224589519078,0.13201160733207273,0.04333231806291904,0.04558334757268112,0.14999969513011813,773,51.196165707263106,34.035250460446576,0.7470207053370042,1.3589651522863688,1.9831569981003498,1.0990651581413118,0.00024886238716333674,0.6648007715081299,0.4644243208279431,0.7797330968080308,0.7087159389533031,28.33434940147429,7.799772874917974,20.56114717431227,0.37934521886320094,1.0,1.0,1.0,0.8672645759854871,0.646888057252386,0.25297929466299585,5,163,58.93386123443805,0.08849387025857802,0.03145508865071038,0.025531914893617058,0.009996824984489118,74.29301747253021,24.608723653791188,1.7392919493169146,0.6504728552250199,7.411415745164923,2.7539582567075875
80,12.324487910973986,9.236178740813548,0.6620984860888381,1.3535622492411135,2.2925433218490623,0.8444252939205883,0.7494168364260765,43,14.635809945540911,5.023007171014283,0.9392624188286703,0.980735560852697,1.2998317345801855,0.8189870594968233,0.3431998085315833,0.5375,1.1875389915802406,0.5438404032631187,1.4186143580800203,0.7245588899975268,0.5669824086603519,0.9698750918442322,0.4579558289192999,37,-2.311322034566926,4.213171569799265,-0.2771639327398322,0.3728266883884165,0.9927115872688768,0.025438234423765027,-0.4062170278944932,267,23.16407554464984,16.90512570348627,0.6836614716476336,1.7739955908119607,2.5407212186662815,1.190633459980609,0.00039442558601308046,0.7297992821211815,0.4606741573033708,1.1638840412408284,0.8434829862807363,9.28772837261179,3.378812082379483,11.387561825140832,0.2967107563727933,1.0,0.5813953488372093,0.7906976744186047,0.3964098508630696,0.6982252038431814,0.3163385283523664,4,75,28.119166061602893,0.2113598104908878,0.07522490543433019,0.09383116883116882,0.04012312354175022,367.74098166765225,141.78891756458623,2.9406451310556676,1.190354103604984,1.99608636882337,0.8026782611852651
84,17.117068092283336,9.053586646810269,0.8486707049959654,1.1117187092334375,2.0411921492609646,0.6519628655848453,0.5289215768728395,35,11.900203350477732,4.189181525063294,0.9359902047307045,0.9209108460949087,1.5388490067231084,0.7244031839831615,0.35202604541166266,0.4166666666666667,0.6952243974447087,0.4627096076381191,1.1028897300457121,0.8283667787959632,0.7538971807628523,1.1111111111111112,0.6655543294205502,49,5.216864741805605,4.864405121746975,-0.08731949973473907,0.19080786313852882,0.5023431425378562,-0.07244031839831622,-0.1768955314611768,407,31.004266854576457,23.467406363566393,0.6535203714672398,1.4428746089039244,2.772365456458922,1.0547851968652016,0.0003276385432130716,0.7569089272014968,0.29238329238329236,0.935912194888037,0.564304719776499,15.08957870477265,6.410252170537872,10.123702214029668,0.6331924858135782,1.0,1.0,1.0,0.6125643618218477,0.3882783882783883,1.0,2,2,1.0,1.0,0.5,0.6666666666666667,0.33333333333333337,54.0,27.0,0.0,0.0,4.618802153517006,2.309401076758503
123,17.52199286563196,9.363096929672134,0.8452553794935876,0.6036922041838875,1.2330394418093196,0.31782710493769945,0.5343625580419638,83,14.196222129449586,7.517696478330866,0.8482748983537588,0.622509749818718,1.305685637223651,0.37685213871184364,0.5295561318905864,0.6747967479674797,0.8101944931900059,0.8029070439831613,1.0035723154604237,1.031170761365503,1.0589163598106262,1.1857142857142857,0.9910053088880528,40,3.325770736182376,1.8454004513412672,-0.0030195188601711553,-0.018817545634830513,-0.07264619541433137,-0.0590250337741442,-0.004806426151377385,2430,65.56078923884945,64.0825849850965,0.21115346556568987,1.0720289297902974,2.1709537147479185,0.8302422333066435,0.0005507208210318242,0.9774529216180179,0.08477366255144032,0.4837985534238541,0.263422479163862,20.350184933357028,10.601646071445579,10.548416818741467,1.0050461840500595,1.0,1.0,1.0,0.9012996068156971,0.4683386449955513,0.7888465344343101,14,505,177.290160529027,0.43549415753085874,0.12390377776521486,0.029664702581369218,0.007674581356477046,40.1071782995657,10.361101181249612,9.10878756089729,3.179841575504754,10.32289604813554,3.0001460452943585
57,9.731265812004677,7.486269591295408,0.6388868714597137,1.4236761701412861,2.2412865419010166,1.126037462387093,0.7693006989964453,5,3.5777087639996634,1.9595917942265426,0.8366600265340756,0.8565976001296786,0.8738590127267502,0.8421681380368139,0.5477225575051662,0.08771929824561403,0.36765091336690575,0.2617581120114937,1.3095589593545638,0.6016800857491837,0.3898916967509025,0.7479041916167665,0.7119746000746804,52,6.153557048005014,5.526677797068865,-0.19777315507436188,0.5670785700116076,1.3674275291742664,0.2838693243502791,-0.22157814149127908,256,19.908836142327413,17.629080625271776,0.4646579253462315,1.8397537829576922,2.761151741601884,1.1860478421190999,0.0004794836832519891,0.8854902666957645,0.2421875,0.6684958618805767,0.5358113441254019,14.908788445569378,3.001818051591308,15.395286334040701,0.19498293090879074,1.0,0.0,0.5,0.9531290695458434,0.6662994123931624,0.5353420746537685,12,65,17.07011683875916,0.34246227825391273,0.09708315207315359,0.08804179566563464,0.02506746907039147,237.72165765977434,76.14922438845426,3.9396722407699194,1.1699267221808172,2.8466980529763433,0.7856615343014389
50,8.371137428680038,7.809997320751919,0.35996118358690415,1.473916162017274,2.1677752407425794,1.0884915119626726,0.9329672804073652,13,6.196143305471796,3.5682024176168357,0.8175379400071837,0.8939138519576324,0.924066812270426,0.8576392335947584,0.5758747404156658,0.26,0.7401793792374526,0.45687626654311086,2.2711836089121213,0.6064889408188441,0.42627427184466016,0.7879154078549849,0.6172507359145749,37,2.1749941232082426,4.241794903135084,-0.45757675642027956,0.5800023100596416,1.2437084284721536,0.23085227836791422,-0.35709253999169943,197,17.52774549333337,15.325876652174099,0.4852452505312436,1.8753463296614916,2.6932765809589996,1.1878040305767894,0.0004763480270495968,0.8743780914666552,0.3197969543147208,0.8310983714187576,0.74241754625858,16.072924051769935,1.8409192695598744,14.374106803958613,0.12807190698297075,1.0,0.0,0.5,0.9549351133308386,0.6963066262558649,0.5147547494687563,6,44,15.0821822765216,0.19452418339450228,0.07061996453606202,0.12904196766425868,0.04179960204618423,223.4479749432985,76.17765659688939,1.6746736904310282,0.5913888866478528,1.0303697483854997,0.3599759142141923
56,9.92610122673137,7.583081608526968,0.6452710805372565,1.0978889200409936,2.020472038853926,0.7676867229186225,0.7639536848672709,54,9.850727228063167,7.114211628669709,0.6916825512356465,1.1589937052951982,2.130992454998245,0.8034238634682824,0.7222016673451725,0.9642857142857143,0.9924064849887669,0.9381689392172665,1.0719255396658216,1.0556566189336558,1.0547002947920077,1.046551724137931,0.9453474492640842,2,0.07537399866820316,0.4688699798572591,-0.04641147069839002,-0.0611047852542046,-0.11052041614431873,-0.03573714054965993,-0.04175201752209834,322,24.91706311318551,22.49803222910915,0.42981559445334605,1.8493682495797288,2.710066491682551,1.2190335720828471,0.0004028341124760388,0.9029166931476661,0.3416149068322981,0.7937062391726704,0.6532701654760962,9.407278376892304,6.787792959928717,6.540473697151753,1.037813662164052,1.0,1.0,1.0,0.8774087187632483,0.6824069650156607,0.570184405546654,9,646,203.2492236481612,0.7474409300040769,0.25242481700436553,0.527046783625731,0.1892927776302277,1167.4565217391305,439.39917038652294,37.038339645917475,11.238217373506055,42.609047369221,14.204413568420554
