label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,71.80549199084668,1053.378337147216,51,1033,95,1075
2,135.7482837528604,1381.4061784897026,113,1369,159,1392
3,165.16666666666666,1206.9501915708813,147,1189,186,1227
4,343.4507462686567,1037.036815920398,327,1019,363,1058
5,362.49557522123894,464.9665683382498,344,448,384,485
6,434.5624607658506,1199.804143126177,411,1178,459,1223
7,610.9828209764919,1332.0985533453888,593,1311,631,1355
8,649.9123575810693,895.5758106923751,629,877,669,918
9,691.7276422764228,842.4910569105691,648,821,729,869
