label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,91.13829787234043,645.0928433268858,72,629,114,665
2,94.69896640826873,29.166666666666668,80,14,113,48
3,115.18480725623583,299.6609977324263,98,284,135,318
4,119.98478701825557,378.7789046653144,102,363,142,399
5,125.75847808105873,144.91563275434243,103,128,152,166
6,126.14647377938518,704.2974683544304,106,687,150,725
7,201.3337801608579,203.5710455764075,183,190,220,217
8,245.87829360100378,769.9623588456712,232,751,261,789
9,256.0339847068819,547.7221750212404,235,532,280,566
10,261.72680412371136,1245.7371134020618,244,1220,280,1273
11,296.84743742550654,1022.3510131108462,272,1002,324,1045
12,351.3586005830904,1352.167638483965,335,1339,369,1367
13,385.580054894785,1113.753888380604,367,1096,407,1135
14,407.70451612903224,1349.4645161290323,382,1331,434,1368
15,431.50836653386455,1165.3274900398405,412,1145,452,1188
16,464.17596371882087,954.0077097505668,436,927,498,980
17,482.4714964370546,162.3978622327791,454,135,514,192
18,475.67522123893804,1236.8504424778762,457,1218,497,1259
19,480.58103130755063,1103.7836095764274,461,1085,502,1126
20,516.0878112712975,1274.7588466579293,500,1258,533,1293
21,580.2161172161173,459.6703296703297,561,443,604,478
22,579.2482078853046,545.429211469534,564,523,595,570
23,623.1730769230769,448.0692307692308,604,435,643,463
24,665.0418326693227,768.1005976095618,647,749,685,789
25,667.5267639902677,168.1228710462287,651,153,686,185
26,705.9072642967543,1318.7511591962905,692,1304,721,1334
27,728.2848904267589,1216.3068050749712,703,1187,750,1245
28,755.2612540192926,810.8520900321544,724,780,787,841
29,883.1617293835068,711.3666933546838,854,698,913,726
30,899.2111111111111,922.5690476190476,875,902,925,944
31,909.3262127280819,844.770805518469,878,823,940,871
32,952.7711038961039,897.0284090909091,932,879,976,919
33,960.8407272727272,495.01163636363634,939,474,985,516
34,999.3525721455458,705.0526976160602,986,685,1014,726
