label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,259.6705565529623,767.508078994614,246,742,275,794
2,523.5582329317269,993.0381526104418,506,975,544,1015
3,582.5688185140073,1025.9951278928136,561,1003,605,1050
4,604.1967963386728,1157.700228832952,588,1141,622,1176
5,636.5322769953052,1058.755281690141,615,1031,659,1086
6,660.758136566688,1118.8340778557754,638,1095,685,1144
7,886.7961114030478,550.3967419863374,856,530,920,574
8,937.7027450980393,736.6650980392156,918,717,959,758
9,973.4127617148554,1307.0269192422732,956,1290,993,1326
