label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,25.75588491717524,265.9442022667829,7,248,48,287
2,68.58913250714967,317.6224976167779,50,300,91,337
3,242.93218720152817,727.8319006685768,229,703,258,753
4,280.6519138755981,1108.3696172248804,262,1079,305,1142
5,294.5412639405204,979.6029739776951,277,955,316,1009
6,297.8579335793358,669.9667896678967,281,645,316,696
7,300.7852760736196,1275.398773006135,284,1256,319,1296
8,350.1407766990291,204.7742718446602,337,187,367,225
9,430.8960498960499,1110.6223146223147,409,1088,456,1138
10,467.17341640706127,1031.21235721703,446,1002,489,1060
11,491.0918762088975,1308.2659574468084,474,1289,510,1330
12,520.6731625835189,1018.5022271714922,498,993,546,1046
13,525.9383825417201,882.5622593068036,509,866,544,900
14,576.7398119122257,1361.4315569487983,555,1346,600,1379
15,571.2591093117409,884.6072874493927,556,869,588,902
16,748.8611111111111,665.4633838383838,731,652,769,680
17,785.487071977638,1169.6212438853947,764,1146,806,1193
18,813.140943877551,967.2232142857143,790,946,839,992
19,907.6612389380531,1277.0329203539823,873,1243,950,1315
20,961.7796610169491,742.5279661016949,942,725,986,764
21,991.5251322751323,1068.292328042328,977,1053,1009,1085
22,1014.463955637708,1383.6802218114603,995,1373,1033,1392
