label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,43.64717542120912,424.89098116947474,25,409,65,445
2,235.7074583635047,823.7805937726285,214,801,259,847
3,252.46422018348625,769.397247706422,239,744,267,796
4,301.05749636098983,663.919941775837,281,635,322,694
5,458.20871934604907,966.3144414168937,437,940,481,994
6,515.4145873320538,911.4075495841331,495,888,537,937
7,551.789922193405,1056.7195257502779,523,1028,585,1087
8,627.3514467184192,1027.1778405081157,605,1007,651,1048
9,637.738646101114,1234.1619537275064,618,1210,657,1258
10,672.0866261398177,1051.9696048632218,651,1032,695,1074
11,705.0887918486171,1146.7627365356623,689,1133,722,1161
12,710.4861460957179,998.4622166246851,692,984,730,1014
13,737.9151329243354,1121.562372188139,718,1104,760,1140
14,756.015625,835.2897135416666,733,814,781,858
15,776.6319018404907,1371.1079754601226,764,1352,790,1392
16,786.2469304229195,674.387448840382,768,662,805,687
17,809.36336996337,1287.34652014652,786,1267,830,1313
18,824.8016997167139,980.5453257790368,810,965,839,997
19,872.8774474256708,942.2157360406092,837,902,904,976
20,944.3591212989494,744.655682903534,919,716,969,775
21,935.4125177809389,1161.2503556187767,921,1145,951,1179
22,1017.8316654753395,739.1858470335955,984,707,1040,786
23,1020.1282973621103,1294.0815347721823,1004,1277,1038,1313
