label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,38.64771151178918,41.319001386962555,25,26,55,59
2,53.68562401263823,507.66824644549763,28,487,80,527
3,54.86180904522613,424.40829145728645,35,413,76,437
4,185.0795334040297,94.22905620360551,168,77,205,115
5,243.595703125,846.6549479166666,217,821,266,868
6,246.7754763877382,713.4490472245236,230,693,266,737
7,296.99918633034986,674.6379170056957,279,648,317,703
8,302.50781968721253,1271.8997240110396,285,1253,323,1294
9,318.37223756906076,403.83080110497235,297,381,340,429
10,349.7474489795918,210.00255102040816,337,192,365,230
11,363.94756097560975,1059.1317073170733,345,1044,384,1076
12,374.74333333333334,126.54583333333333,358,104,393,150
13,392.4593437945792,1369.4236804564907,378,1354,408,1386
14,394.54993342210383,915.9973368841545,382,898,409,935
15,433.89603365384613,1121.2560096153845,409,1100,464,1146
16,488.39708561020035,980.4808743169399,471,958,507,1004
17,493.04611837048424,1308.617986164489,472,1289,516,1331
18,493.0323275862069,217.99137931034483,479,196,508,241
19,511.3044247787611,879.7300884955753,491,862,532,900
20,565.4525416104364,895.0827710301395,533,866,601,928
21,576.5617608409987,1364.176741130092,545,1342,611,1391
22,592.7917981072555,199.52996845425866,571,185,615,215
23,594.27624872579,311.7512742099898,572,298,616,328
24,644.7066831683169,81.97772277227723,626,68,665,98
25,685.1985058697973,672.9765208110992,667,656,704,692
26,713.7007700770077,1163.3047304730474,687,1141,739,1188
27,736.1430615164521,988.5364806866953,721,974,753,1003
28,745.4351145038167,893.9554707379135,726,881,766,908
29,754.2754303599374,1014.8153364632238,739,1002,771,1028
30,801.3439153439153,613.389417989418,783,597,822,630
31,802.7674731182796,479.8736559139785,785,467,822,494
32,852.5375982042649,1195.3333333333333,832,1182,874,1210
33,854.6715092816788,1303.543179983858,835,1284,876,1324
34,911.6727272727272,896.2470588235294,895,877,930,917
35,960.521812080537,745.3557046979865,940,726,983,766
36,972.066401062417,810.5418326693227,957,795,989,827
37,990.7724637681159,1057.7144927536233,977,1043,1007,1074
38,1005.510298661174,1100.1843460350156,980,1067,1035,1141
39,1016.9924242424242,1206.9040404040404,1003,1187,1031,1227
40,1030.5454545454545,921.6433566433567,1018,893,1040,946
