label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,13.906683480453973,227.36317780580075,0,213,33,244
2,23.117977528089888,506.7219101123595,0,493,50,522
3,21.037362637362637,583.5040293040294,0,563,46,607
4,42.467581998474444,422.97940503432494,13,410,73,438
5,160.82296137339057,314.4881974248927,143,299,182,333
6,257.60737179487177,756.4783653846154,240,736,279,780
7,304.4461045891142,657.9935965848452,291,636,319,681
8,316.2583429228999,343.89125431530493,294,313,340,375
9,382.5831485587583,204.3348115299335,365,189,403,222
10,406.40881147540983,75.78790983606558,389,59,427,96
11,408.49852071005915,950.8505917159763,389,929,428,974
12,488.71995820271684,1234.369905956113,471,1216,506,1253
13,493.1524777636595,915.6060991105463,474,904,514,929
14,497.07044410413476,561.0030627871363,479,541,519,585
15,532.609696969697,1081.4836363636364,514,1068,553,1097
16,539.186507936508,230.6468253968254,526,213,555,250
17,541.9397463002114,946.4154334038055,526,927,559,967
18,550.3345238095238,1023.9535714285714,529,1012,573,1037
19,619.0066305003014,1028.8487040385774,596,992,639,1069
20,645.3207547169811,1116.2958003651856,619,1094,681,1137
21,638.5176304654443,1182.1833568406205,624,1167,655,1199
22,665.9579487179487,846.1461538461539,636,825,693,872
23,656.692429022082,1035.3359621451104,644,1020,671,1051
24,697.8525730180806,1154.3643949930458,680,1142,717,1168
25,771.8070432868672,1228.6801173881145,751,1207,795,1252
26,778.7344300822562,1284.1492361927144,755,1262,803,1307
27,800.1880530973451,1372.953539823009,784,1352,818,1392
28,894.4236234458259,566.0364120781528,874,549,916,586
29,939.8755364806867,767.4735336194564,923,755,958,781
30,985.5644444444445,571.27,974,549,998,595
31,1008.9984296482412,1217.0797738693468,978,1182,1040,1251
32,1026.3045454545454,732.625,1010,716,1040,751
