label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,14.916481892091648,1127.3429416112342,0,1103,35,1154
2,22.122448979591837,674.6503401360544,8,657,38,693
3,48.8248502994012,421.55389221556885,18,409,81,435
4,67.12288135593221,698.7627118644068,55,681,80,717
5,97.30520393811533,226.13150492264415,81,202,120,256
6,106.49405772495756,338.92105263157896,86,322,130,358
7,254.08325266214908,742.839303000968,235,701,278,781
8,250.54498044328554,822.9282920469361,235,806,266,841
9,275.04769603880356,1105.3953112368633,258,1083,297,1132
10,283.36234817813767,239.498987854251,263,225,307,256
11,295.23907863383636,1254.1993645750595,274,1237,317,1277
12,299.2902033271719,666.2569316081331,283,643,317,691
13,331.5059203444564,822.9795479009688,320,800,345,847
14,404.36297071129707,77.5010460251046,388,60,424,98
15,435.4183457051962,1106.549840933192,411,1078,457,1136
16,486.39344262295083,1316.879781420765,468,1297,509,1341
17,536.5952868852459,873.7520491803278,517,854,557,894
18,572.5132625994695,909.1226790450928,544,893,604,930
19,581.5177478580172,103.1468788249694,564,89,601,120
20,599.1320261437909,1376.6875816993463,584,1360,615,1392
21,624.9753694581281,1155.0911330049262,607,1139,641,1171
22,641.5921428571429,1105.8671428571429,620,1084,666,1128
23,653.6702795208214,976.5909868796349,628,952,681,1001
24,672.806259314456,1026.5543964232488,658,1012,688,1042
25,693.7921412300683,1324.511958997722,672,1297,716,1353
26,702.8656987295826,53.023593466424686,676,34,733,74
27,739.9182293267753,1172.6633876421765,683,1137,784,1203
28,718.3800170794193,205.9803586678053,700,187,740,228
29,765.7901484480432,1230.0053981106612,737,1211,793,1249
30,755.6002587322122,990.9767141009056,739,974,773,1009
31,787.002600780234,959.0091027308192,769,945,806,974
32,826.7505518763797,1236.799668874172,802,1209,852,1265
33,893.6769177608846,1263.6859018659295,858,1230,930,1304
34,880.8122406639004,1378.7178423236514,860,1363,902,1392
35,885.4677177177177,262.00825825825825,867,241,907,287
36,930.9488074461897,1160.8813263525306,908,1134,953,1189
37,928.9590707964602,1239.6615044247787,911,1221,945,1257
38,966.1294021294021,745.5028665028665,940,728,994,765
39,958.1746411483253,1042.9629186602872,941,1026,976,1061
40,966.7652922519256,834.3031264159492,944,796,996,877
41,992.5334528076463,1359.0092592592594,952,1320,1040,1392
42,990.0233236151604,192.78328474246842,973,174,1009,213
43,987.7034277198212,1125.24739195231,974,1109,1002,1142
44,1014.962435970404,1168.0808195788275,992,1146,1040,1194
45,1025.0591787439614,1216.0893719806763,1010,1198,1040,1235
