label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,81.79812606473594,428.97274275979555,55,413,109,447
2,261.53940455341507,762.2425569176883,245,742,281,785
3,274.91104594330403,344.79667644183775,257,328,296,365
4,333.7772163527791,271.02158934313275,295,247,370,302
5,421.7016861219196,1086.4345006485084,409,1067,435,1106
6,514.5345971563981,890.5706161137441,496,869,534,913
7,574.627868852459,994.0409836065573,534,970,611,1020
8,570.8216216216216,426.5207207207207,553,408,592,448
9,581.7551020408164,493.2204081632653,565,478,600,509
10,620.6681539319576,863.5153374233129,599,838,645,891
11,625.94523326572,1180.1506085192698,601,1155,651,1207
12,675.7530659595625,1055.7590321511436,653,1008,701,1098
13,731.9417344173442,993.1693766937669,717,977,749,1010
14,818.1159274193549,1110.7318548387098,797,1092,840,1130
15,855.8571428571429,637.0360144057623,836,623,877,653
16,942.2596371882087,491.53401360544217,922,478,964,505
17,949.4169381107491,758.657980456026,928,738,977,782
