label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,173.932384341637,602.5862989323844,155,585,197,624
2,298.97546614327774,900.053974484789,281,883,320,922
3,432.4416826003824,1094.5057361376673,414,1076,454,1115
4,513.9263157894737,605.2355263157895,497,591,532,620
5,689.8090405904059,1264.0664206642066,671,1247,711,1284
6,774.873417721519,907.9057665260196,761,891,790,926
7,803.8689230769231,804.204923076923,780,782,830,827
8,823.9504405286343,1202.0286343612336,804,1186,845,1219
9,849.9295774647887,356.21596244131456,835,343,866,371
10,974.184693877551,111.7469387755102,951,99,999,125
11,1027.673142857143,1173.1245714285715,1012,1155,1040,1195
