label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,230.63726708074535,959.3751552795031,215,944,249,977
2,289.5115062761506,902.3943514644351,276,882,303,925
3,335.2896935933148,1007.4763231197771,321,991,351,1025
4,487.2857142857143,811.3940886699507,471,793,504,830
5,504.33569979716026,1048.0131845841786,487,1031,524,1067
6,690.1227876106195,597.0398230088496,669,583,713,611
7,711.7410670582477,886.1468428781204,683,858,743,915
8,715.3557833089312,51.58125915080527,703,35,729,70
9,736.2148571428571,1256.6011428571428,724,1236,750,1278
10,767.8685185185185,87.04351851851852,750,68,791,110
11,779.0607082630692,908.6672287802136,753,887,806,931
12,859.7618545837724,151.1917808219178,842,135,881,170
13,910.2061611374407,482.78554502369667,892,465,930,501
14,967.4956268221574,111.97181729834791,943,99,993,125
15,1024.7690802348336,848.3454011741683,1009,829,1040,870
