label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,29.830526315789474,94.46947368421053,12,78,51,114
2,45.213810316139764,1286.8801996672214,28,1264,66,1313
3,56.36259977194983,1025.332953249715,41,1008,74,1045
4,72.89063867016623,1123.8713910761155,53,1107,96,1143
5,108.35636363636364,549.1793939393939,93,532,126,569
6,157.5366834170854,1249.2090452261307,144,1226,172,1274
7,164.60541969596827,1328.370786516854,147,1304,185,1355
8,264.0806288032454,1249.643509127789,241,1224,293,1278
9,303.161800486618,351.13260340632604,288,335,321,370
10,324.68822674418607,1045.9622093023256,305,1024,347,1068
11,367.4744897959184,1009.3813775510204,350,992,385,1027
12,386.22932917316695,1326.795631825273,371,1314,403,1340
13,448.5509259259259,1196.0055555555555,429,1178,470,1214
14,480.37632978723406,1039.473404255319,463,1024,499,1056
15,493.30141670737663,1140.5862237420615,465,1116,525,1169
16,497.83896307934015,401.75962293794186,475,385,525,423
17,507.06582556226,1194.0735052111904,482,1171,535,1218
18,574.8948497854077,164.96030042918454,558,148,595,185
19,602.6563342318059,1376.8827493261456,587,1360,620,1392
20,604.4242424242424,1221.888888888889,588,1208,622,1237
21,632.045837231057,996.9831618334892,607,983,658,1012
22,744.7881263616558,1110.1514161220043,711,1083,772,1132
23,732.6081404628891,541.9712689545091,716,520,754,568
24,736.5600649350649,672.1939935064935,716,654,760,693
25,771.7379694835681,1279.319835680751,729,1248,816,1311
26,766.2507772020725,832.2207253886011,741,808,796,857
27,784.803007518797,696.1022556390977,757,677,814,715
28,795.9923398328691,613.8885793871866,774,593,816,638
29,791.2746331236897,231.874213836478,775,215,811,252
30,796.7773279352226,946.2780026990554,782,929,813,965
31,803.0373746581586,898.4129443938012,784,875,822,923
32,846.1143911439115,581.9458794587946,834,563,860,602
33,881.6827852998066,1081.6673114119922,857,1047,905,1113
34,903.9559548978153,840.1627906976744,863,819,946,863
35,911.0692978430473,927.533272143185,883,901,937,962
36,925.8122555410691,1106.5860495436766,903,1082,950,1131
37,944.577229299363,325.31847133757964,925,304,966,349
38,952.1288235294118,640.1958823529412,934,614,974,670
39,959.7327586206897,751.3958885941645,936,731,984,773
40,963.9625668449198,1268.3208556149732,942,1253,987,1285
41,973.9441176470589,1176.1279411764706,960,1160,988,1194
