label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,117.83489932885907,700.0093959731544,99,688,138,712
2,279.48337028824835,666.3444198078345,258,647,304,690
3,278.38797169811323,1152.6049528301887,264,1135,295,1173
4,332.3156626506024,694.3678714859437,313,675,355,716
5,344.8254817987152,747.3972162740899,328,731,365,767
6,449.685393258427,1374.1086142322097,437,1354,464,1392
7,472.21655024180546,1236.2391187533583,447,1210,498,1263
8,535.7521222410866,1132.6426146010187,517,1114,557,1154
9,555.1297709923664,1076.453435114504,541,1061,570,1093
10,586.6385321100918,989.1394495412844,570,970,609,1013
11,604.4123910939013,243.36108422071635,587,225,625,265
12,668.047619047619,942.4920634920635,654,921,684,964
13,698.5378704720088,836.5027442371021,677,821,721,853
14,699.3715986394558,1040.2916666666667,680,1022,721,1061
15,715.0476911430734,547.5828917486753,691,530,739,568
16,727.2679045092838,1372.1909814323608,712,1356,744,1390
17,777.3589743589744,365.9076923076923,755,352,801,381
18,826.421826625387,570.4837461300309,806,551,851,593
19,821.6064935064935,386.17012987012987,808,368,837,405
20,837.5741525423729,913.606779661017,808,888,870,941
21,840.6241021548284,707.0845969672786,813,693,871,724
22,857.0554187192118,1137.3103448275863,841,1122,874,1154
23,875.8410364145658,364.04901960784315,855,343,900,388
24,903.249226006192,838.0,873,820,937,860
25,1032.0550621669627,799.7246891651865,1023,781,1040,822
