label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,10.559925093632959,210.90823970037454,0,197,25,225
2,68.80122591943957,1271.9649737302977,49,1254,91,1291
3,70.12868217054263,757.9751937984496,52,736,93,784
4,201.55875576036865,1304.532258064516,187,1286,217,1325
5,209.95731707317074,1242.8170731707316,194,1229,226,1257
6,272.9325481798715,1217.5278372591006,256,1197,290,1239
7,284.41820276497697,1125.700460829493,272,1105,298,1148
8,306.75524475524475,576.4265734265734,291,555,327,602
9,320.05121951219513,995.9186991869918,295,978,345,1015
10,380.25676784249384,1241.1993437243643,361,1222,401,1262
11,470.17732793522265,1176.0259109311742,438,1140,505,1216
12,555.2775041050903,495.85714285714283,542,481,569,511
13,595.7151114781173,456.2815854665566,577,437,618,478
14,668.7491694352159,961.624584717608,655,948,683,976
15,704.00375,748.47125,678,729,732,770
16,708.9799072642968,1355.7364760432768,688,1337,730,1377
17,718.6359761295822,536.6717817561807,692,520,746,554
18,768.1530303030303,1330.3136363636363,752,1317,785,1344
19,827.8235294117648,1156.3945480631278,815,1141,844,1174
20,882.2436450839328,922.8676258992806,843,904,919,945
21,869.4083333333333,641.047619047619,851,627,890,657
22,896.2276641550054,838.2744886975242,866,820,930,860
