label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,31.885780885780886,1366.5664335664335,16,1350,50,1385
2,302.44973544973544,1001.1883597883598,285,982,318,1021
3,327.5028386050284,1304.0640713706407,307,1286,351,1325
4,395.8623242042931,1232.9829755736491,376,1211,417,1256
5,399.29634831460675,1050.7570224719102,383,1035,416,1067
6,497.4231697506034,1210.9678197908286,479,1190,518,1234
7,524.4629981024668,261.59108159392787,506,244,546,282
8,538.9047897196261,1086.2108644859813,519,1059,562,1115
9,565.7473441108546,648.5491916859122,537,610,598,684
10,609.2132921174652,697.3091190108191,578,676,640,725
11,674.7970149253731,961.4483582089553,654,927,693,999
12,718.5475841874085,784.4540891026982,663,737,783,839
13,719.3071625344353,1082.1446280991736,704,1066,734,1100
14,739.2617342879872,1013.6268894192522,720,994,762,1037
15,759.6828282828283,383.64444444444445,742,367,780,403
16,821.7577142857143,233.69142857142856,805,218,841,253
17,848.8504132231405,691.4409090909091,823,661,881,721
18,882.8952087419445,499.48921266461196,839,463,919,547
19,894.9986431478969,840.2080506558118,860,822,933,861
20,898.8472495088408,925.3040275049116,866,900,929,952
21,912.7491254372814,1092.8065967016491,886,1067,940,1118
22,1004.1964529331515,1209.0668485675308,991,1191,1019,1228
