label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,129.5538362346873,1245.9716312056737,107,1224,158,1273
2,156.23779854620977,265.02803738317755,138,249,178,284
3,223.26344676180022,506.7508232711306,207,490,242,526
4,408.36634615384617,1123.2913461538462,391,1105,428,1143
5,619.9898218829517,504.3290924512299,601,486,643,525
6,619.0148367952522,590.0524233432245,602,573,638,609
7,686.124183006536,890.1619462599855,661,872,713,910
8,807.7907172995781,681.5822784810126,788,663,829,700
9,880.000852514919,895.0784313725491,861,871,898,919
