label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,82.3506726457399,1100.1838565022422,56,1086,109,1115
2,80.23247663551402,579.6507009345794,65,561,97,600
3,137.04996953077392,1259.837294332724,115,1229,164,1294
4,238.429,177.377,219,161,261,197
5,251.26504941599282,247.3414195867026,231,232,275,268
6,276.1746341463415,1271.4336585365854,252,1240,298,1309
7,281.4687774846086,479.62181178540015,261,463,306,499
8,283.28795811518324,1031.6670157068063,267,1016,304,1051
9,317.5620767494357,1253.2332580887885,297,1233,340,1277
10,365.390180878553,1179.0788113695091,341,1157,389,1201
11,450.8847352024922,252.4834890965732,429,231,477,279
12,462.33135215453194,1174.7793462109955,443,1154,484,1197
13,473.13047910295614,1248.2748895684676,445,1210,506,1287
14,558.3087621696801,826.6036161335188,543,810,574,844
15,611.2566225165563,1050.8683774834437,590,1033,634,1071
16,644.0434074877917,1165.179598480738,610,1144,681,1186
17,731.4495351925631,554.9568393094289,707,534,756,576
18,745.9354838709677,669.1391705069125,718,644,775,697
19,762.4467164766024,828.0153362170664,732,798,796,860
20,755.6198288159771,1246.6868758915834,733,1224,781,1267
21,764.1495135688684,1160.4587813620071,741,1135,793,1188
22,768.2451051486585,422.25380710659897,744,404,794,443
23,811.1144200626959,810.3808777429467,797,796,826,825
24,818.7689463955637,1384.5452865064694,797,1375,840,1392
25,820.6382380506092,587.5923149015932,799,572,845,604
26,867.3192934782609,537.0978260869565,850,524,886,551
27,908.2027988614801,705.392789373814,857,661,959,752
28,910.7330132939438,845.9069423929099,870,823,946,872
29,911.4029484029484,918.9291564291565,879,889,938,950
30,910.8671586715867,1030.179581795818,899,1009,923,1052
31,967.729549248748,1242.8977462437397,928,1219,1005,1267
32,977.2745861733204,327.3554040895813,957,310,997,344
33,997.2358543417367,986.0252100840336,967,964,1026,1008
34,982.1819526627219,1147.6242603550295,967,1134,998,1163
35,1000.1186224489796,703.3367346938776,987,685,1015,723
