label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,17.227739726027398,1318.5556506849316,0,1299,35,1345
2,141.7247119078105,668.7067861715749,127,650,157,688
3,189.9557625145518,54.357392316647264,175,35,207,76
4,222.09265944645006,294.01805054151623,200,270,246,320
5,254.9116847826087,179.3423913043478,241,162,270,198
6,311.4570765661253,998.4686774941995,295,982,330,1018
7,341.6346863468635,474.08210332103323,327,454,361,498
8,393.4597523219814,1222.6068111455108,373,1203,416,1245
9,518.5208791208792,1218.0646153846153,485,1195,556,1246
10,527.7188881869868,1109.4080859128237,509,1084,552,1140
11,583.2098986285033,637.0751341681574,557,610,610,658
12,612.5970515970516,682.9399789399789,569,652,655,715
13,625.5122393472349,299.1659111514053,609,278,646,324
14,669.0631487889274,234.5190311418685,647,218,694,253
15,716.6822886716503,791.931282346176,667,755,775,832
16,720.4344512195122,1085.7286585365853,707,1070,735,1102
17,744.2097162097162,543.0649350649351,715,512,775,575
18,749.7470308788598,1008.293349168646,730,991,769,1025
19,842.3838896952104,593.4317851959362,820,575,868,615
20,841.8385826771654,1148.47375328084,826,1133,858,1164
21,869.3262531860663,700.5853865760408,843,686,898,716
22,895.0560076591671,839.5940641455242,860,822,934,861
23,900.3039686000873,924.3323157435674,865,901,935,951
24,934.1074695121952,1355.750762195122,913,1335,958,1379
25,953.5149863760219,237.70980926430516,941,219,967,257
26,963.2089285714286,312.1544642857143,946,293,983,333
27,1009.4711302211302,64.31449631449631,982,46,1040,86
