label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,130.79479166666667,195.36979166666666,115,176,150,218
2,197.26985482493595,366.2783945345858,181,343,218,390
3,257.2012927054478,268.9879963065559,237,252,280,286
4,284.62900355871886,1051.3104982206405,265,1033,305,1070
5,411.79480088495575,1129.3611725663716,385,1105,438,1153
6,414.03503649635036,1277.3868613138686,398,1265,432,1293
7,428.012200252419,1203.5931846865797,401,1172,456,1235
8,455.02490170380077,1089.0117955439057,438,1075,474,1105
9,571.7529411764706,913.9426470588236,549,895,596,935
10,642.0453767123288,630.5958904109589,623,612,664,652
