label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,8.31132075471698,1092.4191374663073,0,1069,21,1115
2,105.94776119402985,732.2014925373135,93,714,122,752
3,123.33061699650757,1237.2502910360886,107,1218,141,1258
4,158.96577017114913,1045.3113284433578,141,1025,181,1070
5,188.21152030217186,568.2115203021718,170,551,209,588
6,243.76318359375,757.7998046875,221,730,266,788
7,273.8122249388753,1244.7305623471882,248,1217,298,1274
8,281.44868913857675,1086.1692883895132,260,1067,305,1108
9,341.74003466204505,848.5723570190642,311,812,380,889
10,329.5977900552486,1017.6276243093922,312,1001,349,1036
11,398.5275035260931,975.212976022567,384,958,414,993
12,427.3598949211909,1193.256567425569,409,1174,447,1213
13,448.16336633663366,318.439603960396,429,302,470,336
14,502.0921875,1261.5484375,482,1240,524,1286
15,537.0752212389381,1292.9336283185842,521,1273,554,1314
16,547.5047291487532,487.24419604471194,527,471,570,507
17,623.4884488448845,1027.4942244224424,596,1014,652,1042
18,706.2628236443576,1044.6135808500244,682,1017,731,1074
19,734.5292001107114,796.5673955161915,691,757,782,832
20,737.156862745098,968.218137254902,720,953,757,982
21,755.396770472895,316.5271049596309,743,296,770,338
22,776.8172413793103,1334.3103448275863,761,1318,795,1353
23,814.8688118811881,1150.9282178217823,795,1131,838,1172
24,875.5511982570806,707.6441539578794,845,691,906,722
25,915.7922144882701,929.0915184325858,868,896,957,961
26,907.6647899523604,841.9527934170636,871,823,946,861
27,900.5554846938776,400.2984693877551,873,384,932,420
28,928.5122478386168,1067.558357348703,906,1048,953,1089
29,952.0443181818182,420.9613636363636,935,403,970,440
30,960.2195652173913,880.1065217391305,943,858,977,902
31,982.577519379845,805.0981912144703,968,786,998,825
