label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,25.583402489626557,857.8597510373444,6,836,48,883
2,42.199186991869915,25.802439024390242,21,6,67,49
3,44.70886075949367,1099.7455696202533,26,1086,65,1115
4,88.13009198423127,78.42049934296978,70,64,107,93
5,97.11858974358974,586.3792735042736,81,569,117,607
6,126.50922818791946,1145.7374161073826,108,1127,148,1168
7,126.03927068723702,1258.0995792426368,111,1243,142,1275
8,133.10019083969465,696.1660305343512,113,679,156,716
9,130.20460358056266,430.94245524296673,115,415,148,449
10,159.90535714285716,168.28482142857143,139,152,184,187
11,181.1905646359584,1172.3933878157504,147,1143,222,1201
12,174.6456571867794,1373.1237509607995,154,1353,196,1392
13,188.0410094637224,1242.730283911672,174,1228,202,1259
14,226.21642969984202,1329.8704581358609,205,1312,250,1349
15,264.89615643964936,1260.422117329737,244,1230,287,1292
16,303.4502923976608,1044.0258980785297,286,1024,323,1067
17,328.2860927152318,1207.5920529801324,313,1190,344,1226
18,352.0,61.921270718232044,337,45,366,78
19,354.15610510046366,1366.16228748068,339,1353,370,1380
20,461.69371598218703,1186.26966848095,436,1162,491,1215
21,478.3860103626943,1232.4464594127808,459,1214,500,1254
22,531.4011566771819,835.6251314405888,504,810,558,861
23,547.0141509433962,896.9842767295597,534,882,561,913
24,616.5041666666667,1016.9648148148148,590,989,644,1051
25,714.8505586592179,1348.0558659217877,703,1330,728,1367
26,724.0714916151809,559.5666372462489,708,539,743,584
27,742.2099871959027,665.3770806658131,716,642,766,693
28,744.4864864864865,1221.4497297297298,726,1205,765,1239
29,759.6331471135941,819.1575418994413,729,789,795,849
30,780.6401062416999,1145.8406374501992,766,1131,798,1163
31,804.4079822616408,568.4220251293422,783,544,824,596
32,806.1375921375922,262.5323505323505,789,242,827,287
33,836.3516921035169,1014.9933642999337,812,994,862,1037
34,853.5941385435169,314.21047957371223,835,295,875,336
35,890.2451309603761,445.5836131631968,872,421,910,473
36,905.0385873119686,917.0555918901242,876,894,933,939
37,911.3200493015612,845.8344289235825,879,822,949,871
38,952.3012345679012,979.3320987654321,940,960,966,1000
39,977.7655016910936,812.4250281848929,963,791,994,835
40,1002.3976744186047,693.6093023255814,989,673,1018,715
41,1030.6351145038168,508.2824427480916,1019,488,1040,529
