label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,51.37472527472527,303.489010989011,35,287,71,323
2,52.01381215469613,1173.585635359116,35,1160,70,1187
3,113.834229390681,249.56451612903226,93,234,138,269
4,107.49520383693046,977.8489208633093,95,958,121,999
5,143.76158940397352,276.356669820246,128,256,162,300
6,215.69573643410854,1095.076227390181,192,1074,242,1118
7,285.4398907103825,1136.8196721311476,272,1119,300,1155
8,308.59343236903834,1032.2040656763097,287,1012,330,1053
9,322.6207827260459,990.9851551956815,305,977,341,1006
10,425.4880066170389,1257.583953680728,381,1220,467,1304
11,405.8691626409018,1038.219001610306,384,1003,431,1076
12,467.48774302620456,1203.5114116652578,446,1184,489,1223
13,466.89285714285717,1379.0892857142858,447,1364,487,1392
14,566.2352297592997,470.90098468271333,540,450,598,494
15,682.2116850127011,741.8433530906012,655,729,710,756
16,712.8235294117648,547.5397456279809,689,530,735,568
17,710.5,785.9245524296675,692,771,729,803
18,717.4913294797688,353.0594549958712,695,337,744,373
19,719.566265060241,463.6604600219058,702,447,739,482
20,824.5954907161804,383.2241379310345,808,369,843,399
21,867.8124828155073,933.5694253505636,822,904,917,973
22,866.1960526315789,1155.8947368421052,851,1140,883,1172
23,902.1535326086956,839.2916666666666,870,818,934,862
24,945.3546977421704,440.3386744355426,924,421,969,462
25,1003.5375457875458,472.4807692307692,984,457,1026,491
