label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,9.960820895522389,1209.1138059701493,0,1196,24,1224
2,65.76481312670921,555.3992707383774,46,538,88,575
3,66.15594855305466,1382.435691318328,48,1371,85,1392
4,123.3775447254781,633.2362739049969,106,602,142,667
5,126.09198312236288,1368.2135021097047,108,1348,146,1391
6,251.33463338533542,1287.195007800312,231,1268,275,1309
7,286.04819277108436,1191.033467202142,267,1179,306,1203
8,295.7753067484663,1303.627300613497,274,1284,319,1323
9,331.22911877394637,1086.1310344827587,312,1066,353,1110
10,388.5839416058394,1141.6085766423357,368,1123,410,1163
11,478.2535003684598,1259.0884303610906,456,1240,502,1279
12,576.0063613231553,217.6615776081425,551,199,604,238
13,603.0593149540518,591.7677527151211,584,573,625,614
14,731.09375,1321.7650862068965,714,1302,750,1341
15,746.942726231386,454.36655211912944,734,434,763,475
16,806.4730679156909,712.1896955503513,785,699,829,726
17,839.622144112478,862.7882249560632,826,836,854,891
18,845.1251580278129,1122.859671302149,829,1108,863,1139
19,861.8081048867699,1290.5172824791418,833,1271,890,1311
20,882.2307692307693,1092.3112701252237,853,1073,908,1119
21,910.6157894736842,838.2248803827752,880,818,946,861
22,1028.041237113402,516.4318442153493,1015,496,1040,538
