label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,258.7819706498952,1044.625786163522,244,1024,276,1067
2,315.7516722408027,635.4816053511705,295,617,340,657
3,483.00496585971445,1205.623215394165,458,1183,510,1230
4,549.472972972973,1243.0495495495495,528,1224,574,1265
5,693.322607260726,924.2128712871287,674,904,715,947
6,846.8134715025907,1123.3056994818653,831,1108,864,1140
7,970.626323751891,850.0015128593041,940,835,1002,865
8,963.3899721448468,149.84401114206128,945,132,985,170
9,1024.0671859785784,255.3300876338851,1007,237,1040,276
