label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,73.71825396825396,714.2549603174604,55,697,96,734
2,197.97962154294032,834.8660844250364,182,822,214,851
3,291.33865814696486,897.2279020234291,275,880,310,916
4,570.1864406779661,412.409604519774,551,394,593,434
5,821.6552053486151,1183.2120343839542,804,1165,842,1203
6,824.2009884678748,1040.667215815486,806,1021,845,1064
7,921.8032378580324,993.1008717310087,910,974,936,1013
8,976.5360824742268,111.97319587628866,953,99,1001,125
9,1024.2085020242914,959.3704453441295,1008,941,1040,979
