label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,76.35021097046413,1124.1504922644162,58,1113,95,1137
2,146.23983315954118,673.0948905109489,129,657,167,693
3,180.9923518164436,863.5114722753347,164,845,202,885
4,228.82242990654206,540.8847352024923,210,525,250,559
5,344.51963746223566,45.86002014098691,324,30,367,64
6,352.08188153310107,162.34843205574913,329,143,377,183
7,346.3452380952381,818.1428571428571,334,799,359,838
8,391.91553133514986,757.9032697547684,378,740,406,776
9,536.3180015860428,949.7486122125298,514,932,561,970
10,534.4601851851852,1210.325,517,1192,554,1231
11,616.1775836972344,854.6860747210092,582,829,649,882
12,644.2188328912467,900.6419098143236,631,882,658,920
13,712.1470923603192,256.3854047890536,696,239,731,276
14,774.7130647130647,519.3125763125763,757,505,794,533
15,922.4550173010381,833.9160899653979,903,816,944,855
16,937.4249737670514,1352.4774396642183,925,1329,951,1377
17,982.9033886085076,953.3020908435473,962,932,1006,976
