label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,8.961818181818181,1087.4545454545455,0,1073,23,1105
2,112.38716148445336,1308.100300902708,92,1291,135,1328
3,117.77299578059072,1144.0396624472573,96,1127,141,1163
4,141.56845238095238,277.2609126984127,122,260,164,296
5,307.11496746203903,264.2874186550976,291,248,327,284
6,349.7842323651452,1245.8215767634854,326,1223,376,1270
7,368.1765402843602,1109.7274881516587,349,1094,388,1124
8,394.5610632183908,948.5883620689655,374,927,415,974
9,399.9592050209205,707.0564853556485,382,688,420,727
10,451.260347129506,680.0280373831775,437,664,468,698
11,475.63097199341024,910.2421746293245,455,891,499,932
12,502.9255898366606,630.2513611615245,483,613,525,650
13,544.1949069539667,221.76787463271302,526,206,566,241
14,599.5720844811754,1270.9926538108357,581,1253,621,1292
15,611.7926701570681,66.61047120418849,593,52,634,84
16,616.4120443740095,1025.1030110935023,602,1012,632,1040
17,645.2053915275994,832.1797175866495,630,816,661,850
18,648.1480446927375,1344.0307262569831,630,1326,668,1365
19,677.903342366757,376.06413730803973,659,358,700,397
20,707.8288973384031,610.4828897338404,693,595,725,628
21,799.2415254237288,995.2775423728814,777,980,822,1011
22,806.7668439716313,124.00620567375887,787,105,830,147
23,819.7883817427386,1353.686030428769,802,1341,839,1367
24,913.2058472553699,1337.607398568019,887,1313,941,1363
25,1018.5149948293691,986.0879007238883,996,973,1040,1000
