label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,46.880434782608695,1130.536789297659,26,1112,70,1151
2,61.75533661740558,674.2676518883416,43,654,83,697
3,86.6668536174986,1330.619742007852,53,1309,120,1350
4,108.56969696969696,489.6242424242424,88,473,132,508
5,126.2415196743555,1087.2367706919945,103,1065,152,1111
6,331.4588888888889,1173.59,318,1152,346,1196
7,392.54488330341115,1178.210053859964,373,1158,415,1201
8,447.92558139534884,277.0674418604651,432,261,467,296
9,583.5049212598425,76.30511811023622,566,59,605,97
10,713.2831001076427,998.7750269106566,700,977,728,1022
11,766.1875,264.214552238806,746,247,789,285
12,911.0099464422341,1116.6342769701607,889,1098,935,1137
13,940.3656836461126,1036.63163538874,919,1009,964,1064
