label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,16.714285714285715,1166.6689655172413,0,1151,40,1185
2,305.6756756756757,687.2952952952953,290,668,323,710
3,382.5329985652798,1091.0136298421808,364,1068,404,1117
4,482.22533849129593,1196.0261121856865,464,1179,503,1217
5,510.8198903680501,1096.9827721221614,490,1080,536,1118
6,719.8034076015728,887.3617300131061,704,872,736,903
7,742.2151481888035,1338.398463227223,725,1321,760,1357
8,1017.8988853503184,1278.4299363057326,1000,1256,1040,1300
