label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,14.619745845552297,949.2013685239492,0,930,35,971
2,107.42708333333333,1316.0641025641025,80,1298,136,1335
3,140.69860064585575,275.0043057050592,122,258,161,293
4,140.77142857142857,778.7963133640553,122,760,163,801
5,160.78341013824885,830.4377880184331,149,815,175,847
6,193.83637747336377,877.4558599695586,168,860,220,896
7,390.3588317107093,935.865438108484,361,895,421,981
8,400.06948228882834,702.6430517711171,383,688,418,718
9,599.23264781491,1262.9228791773778,584,1247,616,1280
10,647.1934693877552,1360.2995918367346,625,1343,672,1379
11,647.2913640032284,1209.8910411622276,627,1191,670,1231
12,652.511728931364,831.874022589053,638,809,670,856
13,675.6062052505966,364.19411296738264,650,348,701,385
14,710.5517661388551,608.3008526187576,693,594,730,625
15,765.0034423407917,952.7117039586919,746,932,784,975
16,791.7883538633819,999.7402015677492,770,984,813,1015
17,827.8862179487179,1082.3926282051282,813,1068,842,1097
18,925.4693593314763,1139.650417827298,912,1122,940,1158
19,998.9450261780105,1196.630017452007,982,1176,1017,1218
