label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,45.84615384615385,721.4965034965035,30,703,65,743
2,64.07708553326293,563.9334741288279,48,547,84,585
3,100.35489721886336,1112.5997581620315,76,1093,127,1137
4,118.05374280230326,171.7831094049904,103,152,135,194
5,176.65289256198346,854.689492325856,157,841,197,869
6,195.64472309299896,1198.4420062695924,177,1183,217,1216
7,322.44428571428574,908.3728571428571,305,896,341,921
8,348.5013774104683,999.3168044077134,327,978,372,1024
9,530.6816684961581,1208.212952799122,517,1188,547,1230
10,566.4237288135594,11.152542372881356,553,0,586,28
11,603.5448680351906,855.5759530791789,578,835,632,878
12,646.2492639842983,895.855740922473,633,870,659,922
13,711.6145833333334,250.32670454545453,694,231,733,273
14,718.425965665236,853.4045064377682,700,836,738,872
15,776.6562107904642,524.6085319949811,758,511,796,538
16,950.828437132785,1064.7303172737954,929,1040,974,1091
17,991.7919463087248,951.4218600191755,976,931,1009,975
