label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,81.43105446118193,457.2595596755504,66,441,100,476
2,155.09023117076808,1305.6592095451156,137,1282,175,1332
3,188.63511972633978,665.9007981755987,174,646,204,687
4,220.42319430315362,970.3875890132248,205,952,240,992
5,362.5827174530983,724.2427515633883,342,697,385,755
6,491.62059238363895,1092.6022566995769,477,1077,508,1110
7,545.6010296010296,841.7194337194337,529,825,564,860
8,608.0434445306439,910.4096198603569,585,892,633,930
9,746.6692546583851,814.2173913043479,733,799,761,831
10,774.7200520833334,598.7265625,761,581,790,618
11,992.5688622754491,1354.8699743370403,972,1337,1015,1374
