label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,139.26941514860977,833.3883029721956,124,813,158,857
2,144.44272844272845,785.3745173745174,131,766,158,804
3,276.73372206025266,734.463556851312,255,719,299,751
4,298.75415762834416,870.4186550976139,276,851,323,891
5,377.2985815602837,834.3815602836879,356,813,400,859
6,421.4509265614276,1269.3335621139327,399,1248,446,1291
7,437.32793522267207,711.6022267206478,419,694,457,731
8,472.458177278402,1379.629213483146,455,1365,491,1392
9,526.2814207650273,1242.8565573770493,509,1230,546,1256
10,640.5524115755627,83.4289389067524,613,64,675,100
11,729.8255319148936,888.5503546099291,715,873,746,904
12,774.4031791907514,535.7283236994219,760,521,790,553
13,845.740500463392,1025.050046339203,827,1007,867,1045
14,889.0478234212139,1046.5045984058859,862,1028,922,1069
