Area of mother cell,Major axis of mother cell,Minor axis of mother cell,Circularity of mother cell,Mean intensity of mother cell,Max intensity of mother cell,Min intensity of mother cell,Axis ratio of mother cell,Area of daughter cell,Major axis of daughter cell,Minor axis of daughter cell,Circularity of daughter cell,Mean intensity of daughter cell,Max intensity of daughter cell,Min intensity of daughter cell,Axis ratio of daughter cell,Area ratio,Major axis ratio,Minor axis ratio,Circularity ratio,Mean intensity ratio,Max intensity ratio,Min intensity ratio,Axis ratio ratio,Area diff,Major axis diff,Minor axis diff,Circularity diff,Mean intensity diff,Max intensity diff,Min intensity diff,Axis ratio diff,Area of phenomenon,Major axis of phenomenon,Minor axis of phenomenon,Circularity of phenomenon,Mean intensity of phenomenon,Max intensity of phenomenon,Min intensity of phenomenon,Extent of phenomenon,Axis ratio of phenomenon,Cross area,Cross major axis,Cross minor axis,Distance between 2 cells,Distance of mother cell to celtroid,Distance of daughter cell to celtroid,Distance ratio,Percentage coverage cell 1,Percentage coverage cell 2,Average coverage area,Distance factor,Intensity factor,Circularity factor,Path length,Range of area change in phenomenon,STD of area change in phenomenon,Range of circularity change in phenomenon,STD of circularity change in phenomenon,Range of extent change in phenomenon,STD of extent change in phenomenon,Range of mean intensity change in phenomenon,STD of mean intensity change in phenomenon,Range of minor axis change in phenomenon,STD of minor axis change in phenomenon,Range of major axis change in phenomenon,STD of major axis change in phenomenon
76,10.801792666589622,9.324405819464937,0.5048148858863118,1.3131816051555683,2.5731008953712786,0.5191536333372003,0.8632276240874072,37,10.887661088564597,4.6791228124241915,0.9029413378729143,0.9979132801292449,1.3505306489771955,0.8935292111803644,0.42976381927783497,0.4868421052631579,1.007949460300286,0.5018145824001355,1.78865830449434,0.7599202396769984,0.5248650184711565,1.7211267605633802,0.49785688882718,39,-0.08586842197497546,4.645283007040746,-0.39812645198660246,0.3152683250263234,1.222570246394083,-0.3743755778431641,-0.4334638048095722,194,21.46687458128474,15.706501200813065,0.6816673600897889,1.9621210679801055,2.9942734204448382,1.2474311246102305,0.0004666225206978172,0.7316622241090612,0.5824742268041238,1.0103684946323546,0.8915753071195907,11.065139102034333,3.215537142242281,11.868014976265627,0.2709414462884405,1.0,0.5135135135135135,0.7567567567567568,0.5491341593328899,0.654065934065934,0.32684701776943337,3,57,24.00462918318511,0.12756463458477107,0.05209885841319749,0.03857655502392343,0.01593844565532417,285.63015873015866,117.63739835739997,2.870735732298554,1.1744535326641237,2.7206560119375496,1.1651943466371808
160,16.24620393841874,13.892969718217461,0.5183777441070838,0.9080356229733152,1.9492118995050338,0.6089170930995749,0.8551517493488807,96,15.615130494481933,8.052302443419546,0.8567854306178037,1.0689203790243116,2.0355551017703117,0.6659148932877649,0.5156730804308721,0.6,0.9611556369519371,0.579595479349587,1.652820631976849,1.1771789035370526,1.0442964678633468,1.0936051899907322,0.60301938319545,64,0.631073443936808,5.840667274797916,-0.33840768651071984,-0.1608847560509964,-0.08634320226527792,-0.056997800188190006,-0.3394786689180086,663,43.24944397453764,34.130008772713786,0.6142091323114434,1.4599252415002033,2.3109504135706755,1.129797979967886,0.00024295706265121513,0.7891432961035808,0.3861236802413273,0.7366877237001818,0.6429905221466508,10.498379711293545,11.119676315592018,10.90076551009495,1.0200821497622659,1.0,1.0,1.0,0.8264530688695214,0.6317423484844299,0.38579086768855664,8,242,75.81020709640622,0.16708417764292594,0.05406802780400749,0.10120789903398597,0.02819126372913341,361.178912424803,115.55797494492775,5.701084635178219,1.5197814625090187,6.3541966634480715,2.160266466284716
115,14.189518762281894,10.607719824059203,0.6641781671655375,1.0704384720069813,1.8187735386889046,0.7103861022614424,0.7475743188878463,46,10.773283713137774,6.217594007211213,0.8166517143998662,0.9928402846858865,1.4844061387645449,0.7717060752579512,0.5771308147792487,0.4,0.7592423600562802,0.586138596261676,1.2295672377865543,0.9275080358653358,0.8161577608142494,1.0863192182410424,0.7720046023488828,69,3.4162350491441202,4.3901258168479895,-0.1524735472343287,0.0775981873210948,0.3343673999243597,-0.06131997299650882,-0.17044350410859765,481,31.543431202637482,29.92414408753547,0.31628313738454356,1.4285956545747087,2.2543767430886326,1.1459893066611704,0.0003105511604123227,0.9486648391324461,0.33471933471933474,0.7913787918332873,0.5622654997934858,14.845346409528599,5.148322290371836,12.27557864334511,0.41939548757344053,1.0,0.9565217391304348,0.9782608695652174,0.5617941068691253,0.6269418401939346,0.6837168626154564,9,561,247.7736422176051,1.0,0.2776660019164613,0.4647619047619047,0.2048959725514754,527.5239085239086,212.62884086041848,32.8241768612159,14.587309460653433,34.52554151287149,15.36646160693429
103,17.821207678769895,7.9567471985281175,0.8947954497392294,1.2541254231547916,2.0847578900830865,0.7364157391378439,0.4464763186619982,25,9.961787089661582,3.7096088715997833,0.9280787952250489,0.910233231851808,1.001759188001797,0.8655807219548783,0.37238387432006487,0.24271844660194175,0.5589849615819747,0.46622178373167456,1.037196596714388,0.7257912287290118,0.480515839641155,1.1753968253968254,0.834050673585614,78,7.859420589108312,4.247138326928335,-0.03328334548581946,0.34389219130298354,1.0829987020812895,-0.12916498281703448,-0.07409244434193335,482,38.27176324088577,22.45042788689245,0.8098728013787794,1.646745006237198,2.3933511521979924,1.1800185534280212,0.0002579745815632019,0.5866055280909721,0.26556016597510373,0.725939763829613,0.5196496088584234,10.968859332195226,3.820914162577867,14.786818484408851,0.25840001800296797,1.0,0.36,0.6799999999999999,0.6799183802688179,0.6880498938590225,0.19012719862122063,16,1027,406.3686557486933,0.5758827647856454,0.15861463296474482,0.6628014842300556,0.19893903206353275,926.5643153526971,219.40866455947403,48.76290186991626,17.413827427844076,57.81398847328635,20.639460723927616
248,22.614007185652195,14.868921506619705,0.7534463715674798,0.7419504686273923,1.3505400572603583,0.3947260258265502,0.6575093650829615,248,22.614007185652195,14.868921506619705,0.7534463715674798,0.7419504686273923,1.3505400572603583,0.3947260258265502,0.6575093650829615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869,58.034531080258574,39.150421225399604,0.7381783307970227,1.2994578823045293,2.155953036862899,1.074293227366194,0.0002564727512585777,0.6746056269715821,0.570771001150748,0.7793293670066279,0.7595791330578686,0.0,13.267357694776258,13.267357694776258,1.0,1.0,1.0,1.0,0.8898710474456942,0.6027301430440036,0.26182166920297734,4,842,377.59526943541016,0.2560605017879538,0.10454519076780613,0.3605,0.14194429513226078,224.36713735558396,94.23876352540924,34.99571075935966,16.534504821539738,49.39161651604885,19.93710902820902
254,25.156589133907612,13.159556345240581,0.8522677851998589,0.8994703536421529,1.6519694044867268,0.6104979234275225,0.5231057467764306,40,10.697257276576876,5.391538440809182,0.8636970646138126,0.9218748803198918,1.242860993971205,0.7796651142736032,0.5040112901289848,0.15748031496062992,0.42522685486636375,0.4097051830139502,1.0134104322754303,1.0249085771276598,0.7523510971786833,1.2770970782280866,0.9634979031197557,214,14.459331857330737,7.7680179044313995,-0.011429279413953664,-0.022404526677738956,0.4091084105155218,-0.16916719084608067,-0.0190944566474458,559,35.90210391840537,34.71801149484814,0.2547047903327506,1.3995927812625202,2.2872094680720094,1.1260550764822446,0.00031534100201066796,0.9670188569937763,0.5259391771019678,0.998655858497024,0.5343363282428369,20.041968229155565,9.43690521580216,15.35965294998003,0.6143957318914832,1.0,0.225,0.6125,0.8230240761464725,0.593989790769755,0.7452952096672494,11,568,257.67889557187357,0.816496580927726,0.22353022655341492,0.49364613880742914,0.20857193818051892,537.8991769547324,213.5085359885631,35.893878319425944,16.058561958810422,37.07342423875801,16.70913093766108
80,11.527016351455028,9.010848685517276,0.6236350663761846,1.1419033149433173,1.9577997829742524,0.7101172094177797,0.781715615800255,46,13.620550762966682,6.215450558640709,0.8898111940468634,1.0291794216541512,1.4394805861936113,0.9039062048850617,0.45632887148294193,0.575,1.181619800621467,0.6897741573033535,1.4268139205471135,0.901284205226463,0.7352542372881355,1.2728971962616824,0.5837530455570991,34,-2.093534411511653,2.7953981268765666,-0.2661761276706788,0.1127238932891661,0.5183191967806411,-0.193788995467282,-0.325386744317313,269,22.082859990415823,20.806923113958657,0.334993361454956,1.7906263051917115,2.717691563145615,1.1534427195963561,0.00042505903278456324,0.9422204878801507,0.4684014869888476,1.1387821652329455,0.7317900470321428,10.983630265171206,3.5505120079145907,11.992469031863818,0.2960618033268155,1.0,0.6086956521739131,0.8043478260869565,0.2959447277538895,0.6588776774650381,0.6650066385450439,4,25,9.093266739736606,0.16792115703396615,0.06701236152846006,0.07297410192147036,0.026399255241765184,154.0249242883101,58.253786480364006,2.039031509592494,0.8092088316828209,1.099027301735056,0.4336954687896247
62,13.073454977812176,8.566473181438216,0.7554060064467207,0.916066315224513,1.2769296736871723,0.7050977894553455,0.6552570224150344,53,13.970911442791744,5.695285327980039,0.9131368746790475,1.0823225923629134,1.3974747425029916,0.9268037954181089,0.40765309774535197,0.8548387096774194,1.068647229558116,0.6648343148170416,1.2088027721334402,1.181489346759414,1.0944022770398483,1.3144329896907216,0.6221270185596697,9,-0.8974564649795678,2.871187853458177,-0.15773086823232674,-0.1662562771384004,-0.12054506881581939,-0.22170600596276335,-0.2476039246696824,438,35.03173186318899,24.313918242009176,0.7199228168356425,1.4379952671723968,2.1940414032708433,1.1442695225783057,0.0003158575026401585,0.6940541317501351,0.2625570776255708,0.7719962725857092,0.5865676756606439,19.41302334084435,14.32827923249667,16.409065242762,0.8731928979816104,1.0,0.33962264150943394,0.6698113207547169,0.8376514873514438,0.5128352963786618,0.2312531622588495,2,17,8.5,0.2312531622588495,0.11562658112942475,0.042857142857142816,0.021428571428571408,17.210526315789366,8.605263157894683,4.108564679885658,2.054282339942829,3.595689994261735,1.7978449971308674
79,21.34992280426804,8.099053786289401,0.9252540076544015,1.087877549300628,1.6623929225343994,0.8475300161829307,0.37934815317788073,77,11.688440553981815,8.807283772428319,0.6574436104203343,1.0442633248143975,1.893482477268075,0.721701148683966,0.7535037485755964,0.9746835443037974,0.5474699211392554,1.0874460158960613,0.7105547287355289,0.9599088844932326,1.1390101892285298,0.8515346181299073,1.9863118938719857,2,9.661482250286225,-0.7082299861389174,0.2678103972340672,0.043614224486230535,-0.23108955473367554,0.1258288674989647,0.3741555953977157,446,37.515117414668566,24.931573730706575,0.7472224063001859,1.5788438457909777,2.477255828885868,1.1633120778870634,0.00029199797548565113,0.6645740557100915,0.34977578475336324,0.8806679982649266,0.678109522540701,8.968458104194234,10.735126928546753,4.826667612818242,2.224128071308938,1.0,1.0,1.0,0.5892835976778773,0.6373358081878261,0.2527775936998141,11,620,256.74867925175516,0.9586907114045357,0.3132434829745209,0.537037037037037,0.188167891187558,775.8901345291479,249.68143895533115,29.074268105170614,12.394436753701967,40.7381587889481,17.995520016882075
70,10.221549894159073,8.737622114179365,0.5189186900172515,1.2059460622902993,2.0558050039806965,0.6446775273807063,0.8548236035292776,33,7.8246536764284205,5.521287926920905,0.7085833413284512,1.0884848245128922,1.9598196832373471,0.8387970939586745,0.7056271312752986,0.4714285714285714,0.765505599194862,0.6318982275464843,1.3654997496908317,0.9025982658342713,0.9533101045296168,1.301111111111111,0.8254651934761779,37,2.396896217730653,3.216334187258459,-0.1896646513111997,0.11746123777740713,0.09598532074334942,-0.19411956657796825,-0.14919647225397892,236,20.556588531223042,18.278207128573527,0.4575859516620729,1.8616125924843805,2.9332827495822134,1.166150016195322,0.00046827915192935266,0.8891653934119992,0.4364406779661017,0.877879300992839,0.7801044129109324,10.248484683911734,2.3036742430620296,8.68837988629524,0.26514428158185954,1.0,0.3939393939393939,0.696969696969697,0.5053805434002443,0.6346516007532957,0.5424140483379272,5,70,23.523605165875406,0.2608343215619059,0.10969522847718108,0.11873802152439916,0.05063897938756294,259.9845559845562,98.65478294075506,2.7386632561199384,1.013624383878255,7.608729292295028,2.740140855404331
